date_key,year,quarter,quarter_name,month,month_name,year_month,year_quarter,week_of_year,day_of_week,is_weekend,is_month_end
2018-05-06,2018,2,Q2,5,Tháng 5,2018-05,2018Q2,18,6,1,0
2018-05-07,2018,2,Q2,5,Tháng 5,2018-05,2018Q2,19,0,0,0
2018-05-08,2018,2,Q2,5,Tháng 5,2018-05,2018Q2,19,1,0,0
2018-05-09,2018,2,Q2,5,Tháng 5,2018-05,2018Q2,19,2,0,0
2018-05-10,2018,2,Q2,5,Tháng 5,2018-05,2018Q2,19,3,0,0
2018-05-11,2018,2,Q2,5,Tháng 5,2018-05,2018Q2,19,4,0,0
2018-05-12,2018,2,Q2,5,Tháng 5,2018-05,2018Q2,19,5,1,0
2018-05-13,2018,2,Q2,5,Tháng 5,2018-05,2018Q2,19,6,1,0
2018-05-14,2018,2,Q2,5,Tháng 5,2018-05,2018Q2,20,0,0,0
2018-05-15,2018,2,Q2,5,Tháng 5,2018-05,2018Q2,20,1,0,0
2018-05-16,2018,2,Q2,5,Tháng 5,2018-05,2018Q2,20,2,0,0
2018-05-17,2018,2,Q2,5,Tháng 5,2018-05,2018Q2,20,3,0,0
2018-05-18,2018,2,Q2,5,Tháng 5,2018-05,2018Q2,20,4,0,0
2018-05-19,2018,2,Q2,5,Tháng 5,2018-05,2018Q2,20,5,1,0
2018-05-20,2018,2,Q2,5,Tháng 5,2018-05,2018Q2,20,6,1,0
2018-05-21,2018,2,Q2,5,Tháng 5,2018-05,2018Q2,21,0,0,0
2018-05-22,2018,2,Q2,5,Tháng 5,2018-05,2018Q2,21,1,0,0
2018-05-23,2018,2,Q2,5,Tháng 5,2018-05,2018Q2,21,2,0,0
2018-05-24,2018,2,Q2,5,Tháng 5,2018-05,2018Q2,21,3,0,0
2018-05-25,2018,2,Q2,5,Tháng 5,2018-05,2018Q2,21,4,0,0
2018-05-26,2018,2,Q2,5,Tháng 5,2018-05,2018Q2,21,5,1,0
2018-05-27,2018,2,Q2,5,Tháng 5,2018-05,2018Q2,21,6,1,0
2018-05-28,2018,2,Q2,5,Tháng 5,2018-05,2018Q2,22,0,0,0
2018-05-29,2018,2,Q2,5,Tháng 5,2018-05,2018Q2,22,1,0,0
2018-05-30,2018,2,Q2,5,Tháng 5,2018-05,2018Q2,22,2,0,0
2018-05-31,2018,2,Q2,5,Tháng 5,2018-05,2018Q2,22,3,0,1
2018-06-01,2018,2,Q2,6,Tháng 6,2018-06,2018Q2,22,4,0,0
2018-06-02,2018,2,Q2,6,Tháng 6,2018-06,2018Q2,22,5,1,0
2018-06-03,2018,2,Q2,6,Tháng 6,2018-06,2018Q2,22,6,1,0
2018-06-04,2018,2,Q2,6,Tháng 6,2018-06,2018Q2,23,0,0,0
2018-06-05,2018,2,Q2,6,Tháng 6,2018-06,2018Q2,23,1,0,0
2018-06-06,2018,2,Q2,6,Tháng 6,2018-06,2018Q2,23,2,0,0
2018-06-07,2018,2,Q2,6,Tháng 6,2018-06,2018Q2,23,3,0,0
2018-06-08,2018,2,Q2,6,Tháng 6,2018-06,2018Q2,23,4,0,0
2018-06-09,2018,2,Q2,6,Tháng 6,2018-06,2018Q2,23,5,1,0
2018-06-10,2018,2,Q2,6,Tháng 6,2018-06,2018Q2,23,6,1,0
2018-06-11,2018,2,Q2,6,Tháng 6,2018-06,2018Q2,24,0,0,0
2018-06-12,2018,2,Q2,6,Tháng 6,2018-06,2018Q2,24,1,0,0
2018-06-13,2018,2,Q2,6,Tháng 6,2018-06,2018Q2,24,2,0,0
2018-06-14,2018,2,Q2,6,Tháng 6,2018-06,2018Q2,24,3,0,0
2018-06-15,2018,2,Q2,6,Tháng 6,2018-06,2018Q2,24,4,0,0
2018-06-16,2018,2,Q2,6,Tháng 6,2018-06,2018Q2,24,5,1,0
2018-06-17,2018,2,Q2,6,Tháng 6,2018-06,2018Q2,24,6,1,0
2018-06-18,2018,2,Q2,6,Tháng 6,2018-06,2018Q2,25,0,0,0
2018-06-19,2018,2,Q2,6,Tháng 6,2018-06,2018Q2,25,1,0,0
2018-06-20,2018,2,Q2,6,Tháng 6,2018-06,2018Q2,25,2,0,0
2018-06-21,2018,2,Q2,6,Tháng 6,2018-06,2018Q2,25,3,0,0
2018-06-22,2018,2,Q2,6,Tháng 6,2018-06,2018Q2,25,4,0,0
